term_a,term_b,pmi,co_occurrence_count
access,benefit,0.003748111080568796,19
access,broader,0.08894295714380065,5
access,community,0.027642431280004744,24
access,concentration,0.2663504991353261,7
access,consideration,0.05504140546811925,6
access,critical,0.5070265292111763,22
access,demographic,0.4297348549095299,8
access,density,0.1005037795448767,45
access,develop,0.0009741841978434143,12
access,disparity,1.268723023921016,23
access,distance,0.25516758689558044,34
access,dynamic,0.1240342769550708,10
access,ensuring,0.6230254430740586,10
access,environment,0.2630878535005098,63
access,equitable,1.0155033556554118,27
access,equity,1.0300397381690523,19
access,evaluates,0.7789602446948182,11
access,facility,0.6268277290237971,31
access,focus,0.3019014833996451,32
access,focused,0.6071099877681589,11
access,general,0.3063558337490253,12
access,gis-based,0.5940379062008061,6
access,higher,0.29620346228500716,28
access,highlighting,0.8171814575150161,10
access,identify,0.28038034734576456,19
access,identifying,0.6337782348503203,11
access,inclusive,0.7820901377037459,20
access,increasingly,0.19387785032233507,9
access,inform,0.7907482004468606,8
access,infrastructure,0.40298266943809696,38
access,intervention,0.4744927555510235,18
access,limitation,0.5176649274162323,9
access,link,0.15512486402510173,7
access,lower,0.6473838869060987,22
access,market,0.48867739054298,9
access,mobility,0.24955823535589222,33
access,model,0.34557654690230666,78
access,need,0.33689255760910713,57
access,offer,0.2781849567823291,20
access,older,0.7481885860280648,10
access,policy,0.01421941094786414,56
access,poor,0.49687415774715854,7
access,population,0.3230764805361037,56
access,priority,0.23736296226207382,5
access,proximity-based,1.0583435143319042,10
access,public,0.0914090496389942,56
access,reduced,0.5940379062008062,10
access,remains,0.6611772090384347,11
access,resident,0.5848635299247649,62
access,risk,0.07913895704717973,7
access,share,0.2712645139377552,6
access,show,0.27528219712436747,43
access,site,0.01421941094786414,8
access,spatial,0.2811655849204666,70
access,speed,0.7481885860280646,7
access,station,0.14205278245774908,8
access,strongly,0.23736296226207382,6
access,targeted,1.1092019315653951,11
access,threshold,0.8008323195134864,13
access,transition,0.41171634940685164,10
access,vehicle,0.11219981930806786,9
access,vulnerability,0.4605065135762836,5
access,walkable,0.1817931111072632,28
access,walking,0.5495861436299723,44
access,within,0.5811345013648982,88
access,zone,0.01421941094786414,8
accessibility,adult,0.5098523876794386,10
accessibility,age,0.6276354233358219,15
accessibility,aiming,0.5251198598102269,11
accessibility,amenity,0.6139217475736449,43
accessibility,analysis,0.21007561034431274,113
accessibility,apply,0.3354990005346607,7
accessibility,applying,0.09746683672670046,8
accessibility,benefit,0.06356528505101898,32
accessibility,broader,0.32061038804091024,10
accessibility,concentration,0.25685587321554765,11
accessibility,consideration,0.5743909088170096,16
accessibility,critical,0.13255815653797037,24
accessibility,density,0.022016282138146628,66
accessibility,develop,0.1456302381053232,22
accessibility,disparity,0.8072432742581804,23
accessibility,distance,0.41046203900811595,63
accessibility,ensuring,0.8033995795836175,19
accessibility,environment,0.052922532118579904,81
accessibility,equitable,0.9217483861178934,39
accessibility,equity,0.9199578753441052,27
accessibility,evaluates,0.8640242014000522,19
accessibility,facility,0.5155504087940762,44
accessibility,focus,0.2033272274261777,46
accessibility,focused,0.050320058300998546,10
