T1,T2,T3,T4,T5,T6,dominant_topic
0.44579620047802826,0.3204118014320534,0.0009866809572858883,0.0009884814927711484,0.23082718412624978,0.0009896515136116285,T1
0.5327998552494397,0.00215448511281227,0.2366591040957677,0.22407847239271125,0.0021548551098056552,0.002153228039463352,T1
0.7421695752577883,0.0018020958842375403,0.0018075847241613911,0.25060446017122345,0.0018119922055435617,0.0018042917570460033,T1
0.8587339683057083,0.0016156238284629075,0.001600650773763936,0.10258564702082816,0.03385696997299878,0.0016071400982380468,T1
0.4718558917252557,0.14343135642064195,0.0013193476576792154,0.1252383461513961,0.2568403110702551,0.001314746974771912,T1
0.0012981611645878188,0.0012981032178509572,0.0012927006885122027,0.5003264737125229,0.0012945660334834131,0.49448999518304265,T4
0.49536035799821615,0.1127775886229303,0.001097393448085845,0.0010970883130663692,0.08008444666356648,0.30958312495413487,T1
0.8769877574252781,0.002426921764378276,0.0024295170672811537,0.11329451200814891,0.0024314583754688054,0.0024298333594448677,T1
0.7377704837740943,0.20093270870611013,0.0014603960353832728,0.0014705162274529805,0.0014625609522875775,0.056903334304671746,T1
0.3619068324308714,0.29774298132171206,0.0016293044761062213,0.01958123325911492,0.0016261280900553583,0.3175135204221401,T1
0.25504044229342726,0.21098448722382943,0.0016357576703047224,0.0016300504652319863,0.001628999060051344,0.5290802632871554,T6
0.878075784436866,0.0015335199014206167,0.0015259907610233935,0.0015313830845615703,0.0015257528567154423,0.115807568959413,T1
0.0014736267983059752,0.0014773902591384697,0.0014767934074874248,0.992624714309331,0.0014705807025909518,0.0014768945231462282,T4
0.9082333669259691,0.001125025357959655,0.0011277726519194507,0.0872761281917175,0.0011197518343190663,0.0011179550381152448,T1
0.5148581616683305,0.16647520104670613,0.31372872828788767,0.0016499896486825987,0.001644579909489451,0.0016433394389035912,T1
0.578574443857222,0.0026235058535488175,0.0026263326021273305,0.41094694394028364,0.0026117232978865486,0.002617050448931702,T1
0.8686560074733543,0.0014138154724418134,0.0014097990909452572,0.0014119079813007267,0.0014158569400437742,0.12569261304191412,T1
0.0012292783316333543,0.0012263825656990042,0.0012326180823610498,0.9938523955196638,0.0012227472620667441,0.0012365782385760971,T4
0.0022463133167041484,0.0022470443499889464,0.002232398852704189,0.7312081314895961,0.002233652823599495,0.25983245916740705,T4
0.21406945752900974,0.6167472314391457,0.0015430854015397386,0.16454837844571643,0.0015508792405904256,0.0015409679439980434,T2
